V,I,R
1.2,0.6,2
2.5,0.7,3.571428571
3.7,0.8,4.625
4.9,0.9,5.444444444
6.1,1,6.1
7.4,1.1,6.727272727
8.6,1.2,7.166666667
9.8,1.3,7.538461538
11.1,1.4,7.928571429
12.3,1.5,8.2
13.15,1.6,8.21875
14.7,1.7,8.647058824
16,1.8,8.888888889
17.2,1.9,9.052631579
18.4,2,9.2
19.6,2.1,9.333333333
20.8,2.2,9.454545455
22.1,2.3,9.608695652
23.3,2.4,9.708333333
24.5,2.5,9.8
25.7,2.6,9.884615385
27,2.7,10
28.2,2.8,10.07142857
29.4,2.9,10.13793103
30.6,3,10.2
31.9,3.1,10.29032258
33.1,3.2,10.34375
34.3,3.3,10.39393939
35.5,3.4,10.44117647
36.8,3.5,10.51428571
38,3.6,10.55555556
39.2,3.7,10.59459459
40.5,3.8,10.65789474
41.7,3.9,10.69230769
42.9,4,10.725
44.1,4.1,10.75609756
45.3,4.2,10.78571429
46.5,4.3,10.81395349
47.8,4.4,10.86363636
49,4.5,10.88888889
50.2,4.6,10.91304348
51.4,4.7,10.93617021
52.6,4.8,10.95833333
53.9,4.9,11
55.1,5,11.02
56.3,5.1,11.03921569
57.5,5.2,11.05769231
58.7,5.3,11.0754717
60,5.4,11.11111111
61.2,5.5,11.12727273
62.4,5.6,11.14285714
63.7,5.7,11.1754386
64.9,5.8,11.18965517
66.1,5.9,11.20338983
67.8,6,11.3
68.5,6.1,11.2295082
69.8,6.2,11.25806452
71,6.3,11.26984127
72.2,6.4,11.28125
73.4,6.5,11.29230769
74.7,6.6,11.31818182
76,6.7,11.34328358
77.1,6.8,11.33823529
78.3,6.9,11.34782609
79.5,7,11.35714286
80.8,7.1,11.38028169
82,7.2,11.38888889
83.2,7.3,11.39726027
84.5,7.4,11.41891892
85.7,7.5,11.42666667
86.9,7.6,11.43421053
88.2,7.7,11.45454545
89.4,7.8,11.46153846
90.6,7.9,11.46835443
91.8,8,11.475
93,8.1,11.48148148
94.2,8.2,11.48780488
95.5,8.3,11.5060241
96.7,8.4,11.51190476
97.9,8.5,11.51764706
99.2,8.6,11.53488372
100.4,8.7,11.54022989
101.6,8.8,11.54545455
102.8,8.9,11.5505618
104,9,11.55555556
105.3,9.1,11.57142857
106.5,9.2,11.57608696
107.7,9.3,11.58064516
108,9.4,11.4893617
110.2,9.5,11.6
111.5,9.6,11.61458333
112.7,9.7,11.6185567
113.9,9.8,11.62244898
115.1,9.9,11.62626263
116.3,10,11.63
117.7,10.1,11.65346535
118.8,10.2,11.64705882
120.1,10.3,11.66019417
121.3,10.4,11.66346154
122.6,10.5,11.67619048
123.8,10.6,11.67924528
125,10.7,11.68224299
126.3,10.8,11.69444444
127.5,10.9,11.69724771
128.7,11,11.7
129.9,11.1,11.7027027
131.2,11.2,11.71428571
132.4,11.3,11.71681416
133.7,11.4,11.72807018
134.9,11.5,11.73043478
136.1,11.6,11.73275862
137.3,11.7,11.73504274
138.6,11.8,11.74576271
139.8,11.9,11.74789916
141,12,11.75
142.2,12.1,11.75206612
143.5,12.2,11.76229508
144.7,12.3,11.76422764
146,12.4,11.77419355
147.2,12.5,11.776
148.4,12.6,11.77777778
149.7,12.7,11.78740157
150.9,12.8,11.7890625
152.1,12.9,11.79069767
153.3,13,11.79230769
154.6,13.1,11.80152672
155.8,13.2,11.8030303
157.1,13.3,11.81203008
158.3,13.4,11.81343284
159.6,13.5,11.82222222
160.8,13.6,11.82352941
162,13.7,11.82481752
163.3,13.8,11.83333333
164.5,13.9,11.83453237
165.7,14,11.83571429
167,14.1,11.84397163
168.2,14.2,11.84507042
169.4,14.3,11.84615385
170.7,14.4,11.85416667
171.9,14.5,11.85517241
173.2,14.6,11.8630137
174.4,14.7,11.86394558
175.7,14.8,11.87162162
176.9,14.9,11.87248322
178.1,15,11.87333333
179.3,15.1,11.87417219
180.6,15.2,11.88157895
181.8,15.3,11.88235294
183.1,15.4,11.88961039
184.3,15.5,11.89032258
185.6,15.6,11.8974359
186.8,15.7,11.89808917
188.1,15.8,11.90506329
189.3,15.9,11.90566038
190.5,16,11.90625
191.8,16.1,11.91304348
193,16.2,11.91358025
194.3,16.3,11.9202454
195.5,16.4,11.92073171
196.8,16.5,11.92727273
198,16.6,11.92771084
199.3,16.7,11.93413174
200.5,16.8,11.93452381
201.8,16.9,11.9408284
203,17,11.94117647
204.2,17.1,11.94152047
205.5,17.2,11.94767442
206.7,17.3,11.94797688
208,17.4,11.95402299
209.2,17.5,11.95428571
210.5,17.6,11.96022727
211.7,17.7,11.96045198
213,17.8,11.96629213
214.3,17.9,11.97206704
215.4,18,11.96666667
216.7,18.1,11.97237569
218,18.2,11.97802198
219.2,18.3,11.97814208
220.5,18.4,11.98369565
221.7,18.5,11.98378378
223,18.6,11.98924731
224.2,18.7,11.98930481
225.5,18.8,11.99468085
226.7,18.9,11.99470899
228,19,12
229.2,19.1,12
230.5,19.2,12.00520833
231.7,19.3,12.00518135
233,19.4,12.01030928
234.3,19.5,12.01538462
235.5,19.6,12.01530612
237.8,19.7,12.07106599
238,19.8,12.02020202
239.3,19.9,12.02512563
240.5,20,12.025
241.8,20.1,12.02985075
243.1,20.2,12.03465347
244.3,20.3,12.03448276
245.6,20.4,12.03921569
246.9,20.5,12.04390244
248.1,20.6,12.04368932
249.4,20.7,12.04830918
250.7,20.8,12.05288462
252,20.9,12.05741627
253.1,21,12.05238095
254.4,21.1,12.05687204
255.7,21.2,12.06132075
257,21.3,12.0657277
258.3,21.4,12.07009346
259.5,21.5,12.06976744
260.7,21.6,12.06944444
262,21.7,12.07373272
263.3,21.8,12.07798165
264.5,21.9,12.07762557
265.7,22,12.07727273
